
catalog,catalogTitle,dataset,datasetTitle,publisher
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/265bca85-848e-4ee8-b386-0d3466d709e9,MIRRI Pracovné skupiny (2021-06-30),https://data.gov.sk/organization/1EB1F79B-D3CB-41ED-9791-50FEC7D7D6AA
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/e347f51a-47c9-4dc1-867e-a0069aef93f3,Živnostníci podľa vybraných ekonomických činností (SK NACE Rev. 2) [og3002rr],https://data.gov.sk/organization/F4787C6F-9FA3-406C-B8D5-D374F1E1F2D3
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/1a0ab414-84c8-4464-9dbb-1bc1be601d53,Zoznam vzájomne uznaných hnojív na základe Nar. Európskeho parlamentu a Rady č. 7642008,https://data.gov.sk/organization/3553318C-C815-4B28-8087-1F99540B3652
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/1277119c-0c20-40c5-9416-30afcc31e7b3,Register Adries - Register obcí,https://data.gov.sk/organization/2DF13D50-0B6F-48BA-884E-BE66DC0A2934
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/0114b6e3-27a6-4549-9a58-3a9033a77675,Register Adries - Register bytov,https://data.gov.sk/organization/2DF13D50-0B6F-48BA-884E-BE66DC0A2934
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/2575043d-06f3-4fd4-b1c9-76638dd54ed1,Dotácie (limity) - Odbor štátnych podpôr a technickej pomoci programov EÚ,https://data.gov.sk/organization/2E5A548A-983F-45BF-978A-1CD6CD22FBBC
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/ab995a03-359c-43c1-9559-df19e0a06c4a,Štvrťročné údaje HDP v stálych cenách vypočítaných reťazením objemov k referenčnému roku 2010 [nu0004qs],https://data.gov.sk/organization/F4787C6F-9FA3-406C-B8D5-D374F1E1F2D3
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/6058a3ad-835e-4fc8-98b5-84825e275665,Centrálna technická evidencia pozemných komunikácii,https://data.gov.sk/organization/74297377-7AD7-4ED7-80CF-457EEA6E75AD
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/d2738608-790f-4b9e-87b7-9d6d4bfb2cd0,Súhrnná správa o zákazkách s nízkou hodnotou podľa § 111 a 117 Zákona o verejnom obstarávaní,https://data.gov.sk/organization/2E5A548A-983F-45BF-978A-1CD6CD22FBBC
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/14fae22e-96ff-4d26-82af-435f8d7a4fb6,Register Adries - Register budov (súpisných čísiel),https://data.gov.sk/organization/2DF13D50-0B6F-48BA-884E-BE66DC0A2934
