OBJECTID,dcat_Catalog_dct_title,dcat_Catalog_dct_description,dcat_Catalog_dct_publisher,dcat_Catalog_dcat_contact_Email,dcat_Catalog_foaf_homepage,dcat_Dataset,dcat_Dataset_dct_title,dcat_Dataset_dct_description,dcat_Dataset_dct_publisher,dcat_Dataset_dcat_theme,dcat_Dataset_dct_accrualPeriodic,dcat_Dataset_dcat_keyword,dcat_Distribution,dcat_Distribution_leg_TOU_AWType,dcat_Distribution_leg_TOU_AName,dcat_Distribution_leg_TOU_DPBSRT,dcat_Distribution_leg_TOU_PDCTyp,dcat_Distribution_dcat_downURL,dcat_Distribution_dcat_accessURL,dcat_Distribution_dct_format,dcat_Distribution_dcat_mediaType
1,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/3d46429c163244a4aaac4a654e692167/about,„Administratívne hranice“@sk,„Dataset obsahuje hranice územno-správnych jednotiek a katastrálnych území Košíc v generalizovanej úrovni 1.“@sk,„https://www.kosice.sk“,REGI,ANNUAL,"„katastralne uzemie“@sk, „mestská časť“@sk, „okres“@sk, „mapa“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=3d46429c163244a4aaac4a654e692167&view=service,https://creativecommons.org/licenses/by/4.0/,„Geodetický a kartografický ústav Bratislava“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/3d46429c163244a4aaac4a654e692167/explore,https://opendata.kosice.sk/datasets/3d46429c163244a4aaac4a654e692167/explore,csv,text/csv
2,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/12aa132c31c447a2b3ded177ab5a271c/about,„Adresné body“@sk,„Dataset obsahuje adresné body v Košiciach.“@sk,„https://www.kosice.sk“,REGI,ANNUAL_2,"„adresa“@sk, „bod“@sk, „adresný bod“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=12aa132c31c447a2b3ded177ab5a271c&view=service,https://creativecommons.org/licenses/by/4.0/,„Ministerstvo vnútra Slovenskej republiky“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/12aa132c31c447a2b3ded177ab5a271c/explore,https://opendata.kosice.sk/datasets/12aa132c31c447a2b3ded177ab5a271c/explore,csv,text/csv
3,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/fd4ac31265014d09a7db1d4f1f1290fc/about,„Centrá voľného času a jazykové školy“@sk,"„Dataset obsahuje základné informácie o centre voľného času a jazykovej škole v Košiciach, ako presnú adresu, webové sídlo, telefónny kontakt a email na organizáciu.“@sk",„https://www.kosice.sk“,SOCI,IRREG,"„voľný čas“@sk, „jazyková škola“@sk, „centrum voľného času“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=fd4ac31265014d09a7db1d4f1f1290fc&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/fd4ac31265014d09a7db1d4f1f1290fc/explore,https://opendata.kosice.sk/datasets/fd4ac31265014d09a7db1d4f1f1290fc/explore,csv,text/csv
4,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/ba941d7bc56a462684a261d4f35ce17d/about,„Cestovný poriadok MHD“@sk,"„Cestovný poriadok mestskej hromadnej dopravy ako export dát z dopravného systému DPMK, a.s.“@sk",„https://www.kosice.sk“,TRAN,Metadáta nenájdené,"„dpmk“@sk, „cestovny poriadok“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=ba941d7bc56a462684a261d4f35ce17d&view=service,https://creativecommons.org/licenses/by/4.0/,"„Dopravný podnik mesta Košice, akciová spoločnosť“",https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/ba941d7bc56a462684a261d4f35ce17d/explore,https://opendata.kosice.sk/datasets/ba941d7bc56a462684a261d4f35ce17d/explore,csv,text/csv
5,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/22017a3f022d4c1db8ce1d2630e4016f/about,„Chránené stromy na území Košíc“@sk,„Dataset obsahuje zoznam chránených stromov na území Košíc.“@sk,„https://www.kosice.sk“,ENVI,IRREG,"„chránený strom“@sk, „ochrana prírody“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=22017a3f022d4c1db8ce1d2630e4016f&view=service,https://creativecommons.org/licenses/by/4.0/,„Štátna ochrana prírody Slovenskej republiky“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/22017a3f022d4c1db8ce1d2630e4016f/explore,https://opendata.kosice.sk/datasets/22017a3f022d4c1db8ce1d2630e4016f/explore,csv,text/csv
6,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/fd2d30bc0ffe4059886f5cf33d884e3a/about,„Chránené územia prírody v Košiciach“@sk,„Dataset obsahuje zoznam chránených území prírody na území mesta Košice.“@sk,„https://www.kosice.sk“,ENVI,IRREG,"„chránené územie“@sk, „chránený areál“@sk, „prírodná pamiatka“@sk, „prírodná rezervácia“@sk, „územie európskeho významu“@sk, „chránené vtáčie územie“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=fd2d30bc0ffe4059886f5cf33d884e3a&view=service,https://creativecommons.org/licenses/by/4.0/,„Štátna ochrana prírody Slovenskej republiky“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/fd2d30bc0ffe4059886f5cf33d884e3a/explore,https://opendata.kosice.sk/datasets/fd2d30bc0ffe4059886f5cf33d884e3a/explore,csv,text/csv
7,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/a4002a4cc1df47b6b166ed8e7aec4695/about,„Cyklistická mapa“@sk,„Dataset obsahuje dáta cyklistickej infraštruktúry na území mesta Košice.“@sk,„https://www.kosice.sk“,TRAN,IRREG,"„cyklo“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=a4002a4cc1df47b6b166ed8e7aec4695&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/a4002a4cc1df47b6b166ed8e7aec4695/explore,https://opendata.kosice.sk/datasets/a4002a4cc1df47b6b166ed8e7aec4695/explore,csv,text/csv
8,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/f3fae948601148c9a458e375a572c84c/about,„Dodávateľské faktúry mesta Košice“@sk,„Dataset obsahuje denne aktualizovaný zoznam dodávateľských faktúr.“@sk,„https://www.kosice.sk“,REGI,DAILY,"„faktúra“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=f3fae948601148c9a458e375a572c84c&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/f3fae948601148c9a458e375a572c84c/explore,https://opendata.kosice.sk/datasets/f3fae948601148c9a458e375a572c84c/explore,csv,text/csv
9,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/6165e208f43a43cc824c2fd585c3c599/about,„Hlasovanie poslancov mestského zastupiteľstva - volebné obdobie 2018 - 2022“@sk,„Dataset obsahuje dáta z hlasovacieho systému Mestského zastupiteľstva v Košiciach.“@sk,„https://www.kosice.sk“,REGI,IRREG,"„zastupitelstvo“@sk, „mestske zastupitelstvo“@sk, „poslanec“@sk, „hlasovanie“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=6165e208f43a43cc824c2fd585c3c599&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/6165e208f43a43cc824c2fd585c3c599/explore,https://opendata.kosice.sk/datasets/6165e208f43a43cc824c2fd585c3c599/explore,csv,text/csv
10,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/ba744610f1454534ae82a01041507c4f/about,„Kancelária prvého kontaktu - Magistrát mesta Košice“@sk,„Dataset obsahuje základné informácie o kancelárií prvého kontaktu na Magistráte mesta Košice.“@sk,„https://www.kosice.sk“,REGI,IRREG,"„kancelária prvého kontaktu“@sk, „otváracie hodiny“@sk, „KPK“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=ba744610f1454534ae82a01041507c4f&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/ba744610f1454534ae82a01041507c4f/explore,https://opendata.kosice.sk/datasets/ba744610f1454534ae82a01041507c4f/explore,csv,text/csv
